Date,Forecast,Lower CI,Upper CI
2023-01-12,8959.843271901482,8213.65597355911,9635.978219866092
2023-01-22,8006.916108606982,7367.67106990611,8705.227323161167
2023-01-23,7988.488914005994,7272.592458855873,8616.785461791156
2023-01-24,8015.494014961797,7279.465864784679,8744.36727856253
2023-01-25,8016.063834194227,7308.317952248704,8713.953802520482
2023-01-29,7819.263124851884,7158.11030565535,8576.254919914803
2023-01-30,7839.037953778343,7095.708727905695,8505.810402867515
2023-01-31,7900.552024928013,7227.538695134515,8618.81970223801
2023-02-01,7931.710299494404,7217.641825315673,8667.822365291366
2023-02-02,7917.735733644406,7180.230537962448,8617.400886778958
2023-02-05,7816.709696386095,7150.219647064379,8525.887388105777
2023-02-06,7847.209338675825,7090.132862646254,8556.951719486657
2023-02-07,7915.9887753863695,7202.146935988489,8553.8244543426
2023-02-08,7951.277328819176,7230.552770718337,8650.900138609202
2023-02-09,7938.668382641746,7232.318368402201,8654.048558510689
2023-02-12,7829.307384336232,7156.3176005690075,8498.063295721337
2023-02-13,7854.3393494892925,7125.517124676627,8605.01947402592
2023-02-14,7917.028458512321,7267.918530811924,8679.223661332893
2023-02-15,7946.011633033651,7258.716152787724,8635.85029034516
2023-02-16,7927.259353169277,7228.610550330124,8694.976197629478
2023-02-20,7826.03383913321,7154.126190268001,8524.180953433617
2023-02-21,7887.485542193825,7175.270930628076,8620.12249303517
2023-02-22,7916.656870447365,7177.47027042321,8577.802781637907
2023-02-23,7899.533358835692,7238.003466384632,8617.53395357164
2023-02-26,7788.742118182973,7090.964922193924,8514.062451133408
2023-02-27,7817.681482908957,7168.415977908656,8557.72854962622
2023-02-28,7886.406225242192,7190.394246131403,8566.933839981977
2023-03-01,7923.383014486198,7248.306557567996,8623.693651782793
2023-03-02,7914.334865497656,7215.485297843741,8552.707549251756
2023-03-07,7936.041539075237,7242.507635784938,8665.306751100628
2023-03-08,7977.069411519548,7281.222846224861,8628.581804771102
2023-03-09,7970.592963266239,7286.885605954742,8694.194346236141
2023-03-13,7911.198540318658,7230.249407320716,8588.047530621958
2023-03-14,7978.900070814591,7262.788164281079,8663.626095001395
2023-03-15,8011.764997799999,7273.918596469635,8764.445881745041
2023-03-16,7995.420275942357,7262.27951656549,8721.81767561957
2023-03-19,7866.874808517983,7238.485047897072,8571.507742729025
2023-03-20,7882.711697997565,7147.218281230395,8580.547855537088
2023-03-21,7934.704657367711,7262.960417422258,8597.968950845798
2023-03-22,7951.426558668277,7245.439986100757,8609.174349851035
2023-03-23,7918.791527262951,7184.874915029894,8600.27541718947
2023-03-26,7743.4428104217595,7029.450292595047,8453.18981994713
2023-03-27,7745.340209409567,7057.201546456698,8446.834015083525
2023-03-28,7784.686855278126,7095.0982996466255,8468.00373388685
2023-03-29,7790.308769314782,7109.997166935473,8520.323777282818
2023-03-30,7748.351116324241,7053.6983188416825,8458.172620858968
2023-04-02,7557.605351948037,6893.537905518353,8281.697923691678
2023-04-03,7559.042510794624,6904.654162365518,8287.257010113724
2023-04-04,7600.422023782795,6888.933415241313,8286.669275067003
2023-04-05,7610.611141597784,6870.699037601792,8319.946199229844
2023-04-06,7575.760123764422,6861.948895323688,8254.240298679695
2023-04-09,7421.085097863443,6796.948923200198,8139.477136719504
2023-04-10,7439.127920999674,6717.734832777596,8108.345975467434
2023-04-11,7499.155113921134,6777.139669101373,8254.45482192682
2023-04-12,7529.839490539446,6842.816236579175,8260.450986938358
2023-04-13,7517.110079538513,6789.491233376875,8204.738585675042
2023-04-16,7436.001468179122,6773.383177621536,8176.173999151544
2023-04-17,7480.021405908454,6835.148319467522,8138.0304166342685
2023-04-18,7566.245292892377,6883.707832022339,8205.212429150324
2023-04-19,7623.027508001529,6914.978617480652,8318.01242639442
2023-04-20,7635.974689312289,6921.729391924265,8378.304263677808
2023-04-23,7626.165983014724,6928.758986712475,8291.599803727575
2023-04-24,7691.009740411852,6972.838266064809,8360.33376693364
2023-04-25,7796.100692371832,7101.605400152758,8471.92142644363
2023-04-26,7869.528835201282,7125.885857294167,8570.026542387708
2023-04-27,7896.659601291998,7246.934580675208,8550.112077649297
2023-04-30,7912.637040332924,7197.1682471152535,8589.003695950192
2023-05-01,7979.987325057662,7313.942190437574,8613.041175865357
2023-05-02,8084.381196585334,7380.525434224992,8822.593359947188
2023-05-03,8153.872564103441,7446.606732313984,8843.39844457363
2023-05-04,8173.832674634661,7465.905671962778,8826.591033703327
2023-05-07,8149.5965901262525,7409.242553475535,8815.957869142181
2023-05-08,8197.756164921393,7488.491024400752,8898.780089269063
2023-05-09,8280.39342639445,7560.429854312306,8977.070184754813
2023-05-10,8325.816599843156,7617.13640159861,9039.865946481834
2023-05-11,8319.685927212533,7589.771676850078,9044.184779571657
2023-05-14,8208.368955765298,7511.466009179226,8912.862905104203
2023-05-15,8225.786724239484,7505.191405301725,8914.904018881687
2023-05-16,8277.472490526525,7568.844163983502,9033.944228995106
2023-05-17,8292.132738629894,7615.222049402393,8985.49400427549
2023-05-18,8255.823435530396,7526.412563173926,8956.905604051204
2023-05-21,8061.257824389821,7364.143588333853,8680.238961602388
2023-05-22,8054.512040772801,7323.739316154291,8712.671637925987
2023-05-23,8084.332683341169,7373.951445189213,8743.944345242142
2023-05-24,8079.674176247729,7329.557883631832,8691.597740485735
2023-05-25,8026.797004489429,7317.840342472623,8742.470535122426
2023-05-29,7789.113084228128,7078.138115098004,8437.062055932007
2023-05-30,7817.462340626019,7117.433760738407,8519.986356579031
2023-05-31,7814.25808843866,7087.450931507571,8539.821587945175
2023-06-01,7765.611929395922,7076.587293775692,8482.733061095454
2023-06-04,7566.381482357002,6838.023725031303,8251.519143096337
2023-06-05,7568.149364551664,6891.127318633395,8161.637904742202
2023-06-06,7610.959075185843,6868.352327038778,8323.15703813418
2023-06-07,7632.664340497489,6928.515463237901,8296.688662546081
2023-06-08,7609.6856405671915,6880.686244421133,8288.410925543394
2023-06-11,7488.5230315767385,6742.8516109261045,8152.580858572964
2023-06-12,7515.5667786948,6858.4066993876595,8216.115241726131
2023-06-13,7582.781735347182,6892.39493306728,8294.178285199843
2023-06-14,7618.427833334767,6909.920168193164,8299.543494445845
2023-06-15,7608.050806568685,6895.40619813563,8331.790048451514
2023-06-19,7548.150817114057,6787.48168293359,8202.777302535575
2023-06-20,7619.580184462423,6960.169095953533,8326.194739213744
2023-06-21,7657.750987309186,6943.108251727545,8350.246422044598
2023-06-22,7648.3100629693345,6961.409445691824,8405.765985531636
2023-06-25,7550.2595270383945,6813.399152537076,8261.26358156957
2023-06-26,7579.579810652804,6857.382084601792,8280.455147046314
2023-06-27,7646.735275709976,6928.175150794178,8371.345701082864
2023-06-28,7680.302121819415,6991.80830062193,8323.226803337186
2023-06-29,7666.189485531476,7025.841590287198,8432.053676684656
